ticker,max,min
BTC,106157.112526539,3232.06205559147
ETH,4810.00481000481,84.1042893187553
BNB,750.187546886722,4.53309156844968
SOL,261.848651479445,0
USDC,1.02595670462706,0
XRP,3.29380764163373,0.138504155124654
STETH,4058.44155844156,0
DOGE,0.689179875947622,0.0015242043653213
TRX,0.429184549356223,0.00855505175806314
TON,8.03858520900322,0
ADA,2.96647878967665,0.023696682464455
AVAX,135.263086703639,0
SHIB,7.92900055740874E-05,0
WBTC,105932.203389831,0
LINK,52.3012552301255,0.165864985901476
UNI,43.1778929188256,0
BCH,2857.14285714286,61.6903146206046
DOT,53.9083557951482,0
NEAR,20.2061022428774,0
SUI,5.29100529100529,0
LTC,388.349514563107,23.121387283237
DAI,4.06834825061025,0.819000819000819
APT,18.3385292499542,0
WEETH,4214.07501053519,0
PEPE,2.65299982649381E-05,0
TAO,713.775874375446,0
ICP,426.985482493595,0
FET,3.2605151613955,0
CAKE,42.6985482493595,0
KAS,0.197316495659037,0
IMX,3.64564345607,0
FDUSD,1.11994624258036,0
XMR,484.730974309258,32.7439423706614
ETC,133.582687683676,3.47222222222222
POL,1.39295166457724,0
STX,3.72300819061802,0.00278792271878224
RENDER,10.489877268436,0
WIF,4.58505272810637,0
WBT,28.5551113649343,0
USDE,1.00532823967025,0
AAVE,628.930817610063,0
FIL,190.803281816447,0
OP,4.70809792843691,0
ARB,2.26090888537192,0
