DATE_TIME,BTC,ETH,BNB,SOL,USDC,XRP,STETH,DOGE,TRX,TON,ADA,AVAX,SHIB,WBTC,LINK,UNI,BCH,DOT,NEAR,SUI,LTC,DAI,APT,WEETH,PEPE,TAO,ICP,FET,CAKE,KAS,IMX,FDUSD,XMR,ETC,POL,STX,RENDER,WIF,WBT,USDE,AAVE,FIL,OP,ARB
2018-01-01 00:00:00,13850.4155124654,741.289844329133,8.62812769628991,0,0,1.97628458498024,0,0.00900252070579762,0.0438981562774363,0,0.711743772241993,0,0,0,0.598802395209581,0,2374.16904083571,0,0,0,226.500566251416,1.09998900011,0,0,0,0,0,0,0,0,0,0,331.67495854063,26.123301985371,0,0.941619585687382,0,0,0,0,0,0,0,0
2018-01-01 01:00:00,13444.474321054,757.002271006813,8.48176420695505,0,0,2.050020500205,0,0.00873896705409421,0.0512295081967213,0,0.722543352601156,0,0,0,0.726744186046512,0,2318.03430690774,0,0,0,224.315836698071,1.09998900011,0,0,0,0,0,0,0,0,0,0,339.789330615019,29.4550810014728,0,0.957854406130268,0,0,0,0,0,0,0,0
2018-01-02 01:00:00,14753.6146355857,862.068965517241,8.74890638670166,0,0,2.19106047326906,0,0.00900009000090001,0.078064012490242,0,0.777000777000777,0,0,0,0.6635700066357,0,2549.71953085161,0,0,0,251.82573659028,1.09998900011,0,0,0,0,0,0,0,0,0,0,365.363536719035,31.7965023847377,0,1.17994100294985,0,0,0,0,0,0,0,0
2018-01-03 01:30:00,15156.1079114883,940.733772342427,9.4876660341556,0,0,2.73000273000273,0,0.00924556213017752,0.0956022944550669,0,1.09337415263503,0,0,0,0.677506775067751,0,2561.47540983607,0,0,0,244.618395303327,0.985221674876847,0,0,0,0,0,0,0,0,0,0,386.847195357834,33.0578512396694,0,1.15995824150331,0,0,0,0,0,0,0,0
2018-01-03 14:00:00,15156.1079114883,940.733772342427,9.4876660341556,176.460208223046,1,2.73000273000273,940.733772342427,0.00924556213017752,0.0956022944550669,4.995004995005,1.09337415263503,25.7400257400257,1.7210000731425E-05,67750.6775067751,0.677506775067751,7.52445447705042,2561.47540983607,4.12541254125413,4.3010752688172,1.75407823188914,244.618395303327,0.985221674876847,9.19117647058824,986.193293885602,9.14999978955001E-06,509.164969450102,7.78816199376947,1.27307447485678,1.78094390026714,0.121300339640951,1.33904659882164,1.00989699050697,386.847195357834,33.0578512396694,0.330469266358229,1.15995824150331,4.87092060399416,2.4869435463815,18.450184501845,0.22237046920169,147.710487444609,3.56252226576416,1.59311773140035,0.519210799584631
2018-01-04 01:30:00,15179.1135397693,945.179584120983,9.14076782449726,176.460208223046,1,2.73000273000273,944.287063267233,0.00956388676358072,0.212044105173876,4.995004995005,1.14955742039315,25.7400257400257,1.7210000731425E-05,67750.6775067751,0.955109837631328,7.52445447705042,2343.56690883525,4.12541254125413,4.3010752688172,1.75407823188914,238.322211630124,1.09998900011,9.19117647058824,990.09900990099,9.14999978955001E-06,509.164969450102,7.78816199376947,1.27307447485678,1.78094390026714,0.121300339640951,1.33904659882164,1.01988781234064,371.885459278542,33.6587007741501,0.330469266358229,1.02997219075085,4.87092060399416,2.4869435463815,18.450184501845,0.22271714922049,147.710487444609,3.56252226576416,1.59311773140035,0.519210799584631
2018-01-05 01:00:00,16954.8999660902,964.320154291225,14.8522204069508,176.460208223046,1,2.51004016064257,967.117988394584,0.0125470514429109,0.223813786929275,4.995004995005,0.99601593625498,25.7400257400257,1.7210000731425E-05,67750.6775067751,0.961538461538462,7.52445447705042,2387.2045834328,4.12541254125413,4.3010752688172,1.75407823188914,244.498777506112,1.09998900011,9.19117647058824,1013.5819987837,9.14999978955001E-06,509.164969450102,7.78816199376947,1.27307447485678,1.78094390026714,0.121300339640951,1.33904659882164,1.00989699050697,356.379187455453,31.25,0.330469266358229,1.15995824150331,4.87092060399416,2.4869435463815,18.450184501845,0.248756218905473,147.710487444609,3.56252226576416,1.59311773140035,0.519210799584631
2018-01-06 01:00:00,17173.2783788425,1008.36946657255,22.8414801279123,176.460208223046,1,2.63782643102084,1006.13743837408,0.0145964092833163,0.172741406115046,4.995004995005,1.02469515319193,25.7400257400257,1.7210000731425E-05,67750.6775067751,1.0681478316599,7.52445447705042,2524.61499621308,4.12541254125413,4.3010752688172,1.75407823188914,278.940027894003,1.09998900011,9.19117647058824,1054.74106106951,9.14999978955001E-06,509.164969450102,7.78816199376947,1.27307447485678,1.78094390026714,0.121300339640951,1.33904659882164,1.00989699050697,393.700787401575,34.0715502555366,0.330469266358229,1.39004726160689,4.87092060399416,2.4869435463815,18.450184501845,0.251952632905014,147.710487444609,3.56252226576416,1.59311773140035,0.519210799584631
2018-01-07 01:00:00,16228.4972411555,1117.69308147983,18.5666542888971,176.460208223046,1,2.75406224180667,1117.44328975305,0.0168776371308017,0.204164965291956,4.995004995005,1,25.7400257400257,1.7210000731425E-05,67750.6775067751,1.26903553299492,7.52445447705042,2531.64556962025,4.12541254125413,4.3010752688172,1.75407823188914,271.591526344378,1.09998900011,9.19117647058824,1171.37167623287,9.14999978955001E-06,509.164969450102,7.78816199376947,1.27307447485678,1.78094390026714,0.121300339640951,1.33904659882164,1,402.90088638195,35.5113636363636,0.330469266358229,1.68010752688172,4.87092060399416,2.4869435463815,18.450184501845,0.238095238095238,147.710487444609,3.56252226576416,1.59311773140035,0.519210799584631
2018-01-08 01:00:00,14976.7859817283,1136.10543058396,18.1225081551287,176.460208223046,1,2.41021932995903,1135.71834185122,0.0148257968865827,0.151263046437755,4.995004995005,0.888888888888889,25.7400257400257,1.7210000731425E-05,67750.6775067751,1.37589433131535,7.52445447705042,2400.96038415366,4.12541254125413,4.3010752688172,1.75407823188914,254.258835494533,1.09998900011,9.19117647058824,1190.61793070604,9.14999978955001E-06,509.164969450102,7.78816199376947,1.27307447485678,1.78094390026714,0.121300339640951,1.33904659882164,1.00989699050697,401.929260450161,33.7837837837838,0.330469266358229,1.44990575612585,4.87092060399416,2.4869435463815,18.450184501845,0.219731927049,147.710487444609,3.56252226576416,1.59311773140035,0.519210799584631
